xID,Tech,Activity Date/Time,Activity,Job,Lat,Long
1,1049,7/11/2011 6:00,LOCATION,,-28.030336,153.403252
2,5237,7/11/2011 6:00,LOCATION,,-28.104892,153.461403
3,5241,7/11/2011 6:00,LOCATION,,-27.953372,153.376648
4,5258,7/11/2011 6:00,LOCATION,,-28.04632,153.420161
5,5320,7/11/2011 6:00,LOCATION,,-27.949808,153.353281
6,5467,7/11/2011 6:00,LOCATION,,-28.028164,153.426047
7,5629,7/11/2011 6:00,LOCATION,,-28.046667,153.420124
8,5630,7/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
9,29535,7/11/2011 6:00,LOCATION,,-28.006297,153.353613
10,5629,7/11/2011 7:32,On site,M008086AU1-397-4876,-28.0903017,153.4516396
11,5237,7/11/2011 7:44,On site,M091063AU1-397-23874,-27.9466238,153.3256128
12,5629,7/11/2011 8:06,On site,M009008AU1-397-5803,-28.0844975,153.4487482
13,5237,7/11/2011 8:19,On site,M093801AU1-397-23874,-27.9466238,153.3256128
14,5467,7/11/2011 10:53,On site,M008065AU1-397-4857,-28.0045258,153.4175183
15,5241,7/11/2011 11:09,On site,M091336AU1-397-5175,-27.8335086,153.4213208
16,5629,7/11/2011 12:15,On site,M093637AU1-397-27654,-20.7294558,143.1416956
17,29535,7/11/2011 12:54,On site,M008389AU1-397-5172,-28.001513,153.413684
18,5237,7/11/2011 13:16,On site,M093012AU1-397-23727,-28.0779275,153.4154154
19,5467,7/11/2011 13:35,On site,M008195AU1-397-4983,-27.9808439,153.4290673
20,5629,7/11/2011 14:07,On site,M008077AU1-397-4869,-28.06698909,153.4439173
21,5241,7/11/2011 16:02,On site,M009187AU1-397-5987,-28.0015444,153.4268186
22,1049,7/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
23,5237,7/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
24,5241,7/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
25,5258,7/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
26,5320,7/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
27,5467,7/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
28,5629,7/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
29,5630,7/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
30,29535,7/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
31,1049,8/11/2011 6:00,LOCATION,,-28.030336,153.403252
32,5237,8/11/2011 6:00,LOCATION,,-28.104892,153.461403
33,5241,8/11/2011 6:00,LOCATION,,-27.953372,153.376648
34,5258,8/11/2011 6:00,LOCATION,,-28.04632,153.420161
35,5320,8/11/2011 6:00,LOCATION,,-27.949808,153.353281
36,5467,8/11/2011 6:00,LOCATION,,-28.028164,153.426047
37,5629,8/11/2011 6:00,LOCATION,,-28.046667,153.420124
38,5630,8/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
39,29535,8/11/2011 6:00,LOCATION,,-28.006297,153.353613
40,5237,8/11/2011 7:04,On site,M094061AU1-397-28599,-28.0722791,153.4153916
41,5237,8/11/2011 7:57,On site,M094220AU1-397-29389,-28.07941765,153.3821556
42,5237,8/11/2011 8:51,On site,M077474AU1-397-23277,-28.077164,153.3793487
43,5467,8/11/2011 10:00,On site,M008964AU1-397-5760,-27.9812536,153.4245809
44,5629,8/11/2011 10:14,On site,M009618AU1-397-500,-28.1685326,153.5326056
45,5237,8/11/2011 10:33,On site,M094164AU1-397-29496,-28.0741287,153.3769897
46,5320,8/11/2011 11:20,On site,M009585AU1-397-416,-27.9758107,153.425641
47,5629,8/11/2011 12:53,On site,M094380AU1-397-29332,-28.1683513,153.5384803
48,5467,8/11/2011 13:02,On site,M009667AU1-397-5685,-28.0011707,153.4283167
49,5241,8/11/2011 13:03,On site,M009962AU1-397-6290,-27.9993389,153.4270175
50,1049,8/11/2011 13:28,On site,M007587AU1-397-4367,-28.1754507,153.5395358
51,5320,8/11/2011 14:23,On site,M009414AU1-397-48,-27.9796822,153.4252618
52,5241,8/11/2011 14:46,On site,M009047AU1-397-5843,-27.99725499,153.4273724
53,1049,8/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
54,5237,8/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
55,5241,8/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
56,5258,8/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
57,5320,8/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
58,5467,8/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
59,5629,8/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
60,5630,8/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
61,29535,8/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
62,1049,9/11/2011 6:00,LOCATION,,-28.030336,153.403252
63,5237,9/11/2011 6:00,LOCATION,,-28.104892,153.461403
64,5241,9/11/2011 6:00,LOCATION,,-27.953372,153.376648
65,5258,9/11/2011 6:00,LOCATION,,-28.04632,153.420161
66,5320,9/11/2011 6:00,LOCATION,,-27.949808,153.353281
67,5467,9/11/2011 6:00,LOCATION,,-28.028164,153.426047
68,5629,9/11/2011 6:00,LOCATION,,-28.046667,153.420124
69,5630,9/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
70,29535,9/11/2011 6:00,LOCATION,,-28.006297,153.353613
71,5629,9/11/2011 7:37,On site,M093065AU1-397-26652,-28.14656298,153.4967283
72,5237,9/11/2011 7:40,On site,M090077AU1-397-6090,-28.0364102,153.4176229
73,5467,9/11/2011 8:52,On site,M009267AU1-397-927,-27.9913368,153.4281193
74,1049,9/11/2011 9:52,On site,M093057AU1-397-26724,-28.2736228,153.5079997
75,1049,9/11/2011 9:58,On site,M092888AU1-397-25696,-28.2768833,153.5773332
76,5629,9/11/2011 10:03,On site,M094325AU1-397-30315,-28.15653841,153.5070589
77,1049,9/11/2011 10:20,On site,M092887AU1-397-27724,-28.2768833,153.5773332
78,1049,9/11/2011 10:40,On site,M092354AU1-397-25495,-28.2736228,153.5079997
79,5629,9/11/2011 10:49,On site,L003493AU1-397-6652,-28.1651684,153.5208735
80,5237,9/11/2011 11:01,On site,M093645AU1-397-27581,-28.0168966,153.3735431
81,5629,9/11/2011 11:40,On site,M094381AU1-397-31103,-28.1683513,153.5384803
82,5237,9/11/2011 11:55,On site,M093645AU2-397-29828,-28.0168966,153.3735431
83,29535,9/11/2011 13:18,On site,L003549AU1-397-954,-27.98411953,153.4041112
84,5629,9/11/2011 13:20,On site,M090284AU1-397-6666,-28.1045423,153.463502
85,5237,9/11/2011 13:37,On site,M092889AU1-397-27734,-28.0921171,153.4061158
86,1049,9/11/2011 13:40,On site,M051139AU1-397-4339,-28.1674652,153.5392522
87,5241,9/11/2011 13:41,On site,M009843AU1-397-6185,-27.9981163,153.4267001
88,29535,9/11/2011 14:14,On site,M051143AU1-397-4397,-28.0032293,153.4169989
89,5237,9/11/2011 14:36,On site,M093398AU1-397-26962,-28.0756236,153.4206712
90,1049,9/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
91,5237,9/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
92,5241,9/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
93,5258,9/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
94,5320,9/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
95,5467,9/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
96,5629,9/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
97,5630,9/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
98,29535,9/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
99,1049,10/11/2011 6:00,LOCATION,,-28.030336,153.403252
100,5237,10/11/2011 6:00,LOCATION,,-28.104892,153.461403
101,5241,10/11/2011 6:00,LOCATION,,-27.953372,153.376648
102,5258,10/11/2011 6:00,LOCATION,,-28.04632,153.420161
103,5320,10/11/2011 6:00,LOCATION,,-27.949808,153.353281
104,5467,10/11/2011 6:00,LOCATION,,-28.028164,153.426047
105,5629,10/11/2011 6:00,LOCATION,,-28.046667,153.420124
106,5630,10/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
107,29535,10/11/2011 6:00,LOCATION,,-28.006297,153.353613
108,5237,10/11/2011 7:01,On site,M090796AU1-397-22850,-28.080224,153.3839491
109,5237,10/11/2011 8:52,On site,M091287AU1-397-23771,-28.0796192,153.3881251
110,5241,10/11/2011 9:01,On site,M009778AU1-397-6124,-28.0008978,153.4295646
111,1049,10/11/2011 9:16,On site,M093323AU1-397-27188,-28.17440341,153.5434614
112,29535,10/11/2011 9:27,On site,M051138AU1-397-4630,-27.9289992,153.4058351
113,5241,10/11/2011 9:51,On site,M006044AU1-397-2915,-28.0054369,153.4280733
114,29535,10/11/2011 9:54,On site,L001776AU1-397-1111091302,-27.87403921,153.4081262
115,5237,10/11/2011 10:01,On site,M094358AU1-397-30301,-28.079088,153.4137202
116,29535,10/11/2011 10:17,On site,L001776AU1-397-1111091305,-27.87403921,153.4081262
117,5320,10/11/2011 10:24,On site,M093307AU1-397-25494,-27.9672719,153.4165113
118,1049,10/11/2011 10:40,On site,M051110AU1-397-3802,-28.1649557,153.5470277
119,5237,10/11/2011 10:57,On site,M094401AU1-397-29440,-28.0669978,153.4165346
120,5241,10/11/2011 12:33,On site,M008017AU1-397-4815,-28.00160298,153.427182
121,1049,10/11/2011 13:29,On site,M006765AU1-397-3537,-28.16763973,153.5337407
122,5467,10/11/2011 13:41,On site,M009895AU1-397-6231,-28.0045258,153.4175183
123,5241,10/11/2011 13:59,On site,M006026AU1-397-2901,-27.9958642,153.4276743
124,5320,10/11/2011 14:02,On site,M090420AU1-397-10451,-27.9796822,153.4252618
125,1049,10/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
126,5237,10/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
127,5241,10/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
128,5258,10/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
